text,target,is_offensive
gümrük idarelerinin otomasyona geçmesiyle ihracat işlemlerinde gümrüklerde yaşanan bürokrasi kısmen azaltılmış olsa da halen devam etmektedir,OTHER,0
ve yıllar sonra boşandı,OTHER,0
Boyle giderse cevresinde kimse kalmayacak,INSULT,1
türk yemeklerinin tipik özelliklerinden biri değişik besin gruplarında yer alan yiyeceklerin karıştırılarak bir arada pişirilmesidir,OTHER,0
senin neyine güveneyim,INSULT,1
bahçesi olan ve hayvanların çok sevildiği bir evde büyüdüm,OTHER,0
Kızılbaşlar gibi sakalını traş edip sadece bıyık bırakır,RACIST,1
Bu çocuk adam olamaz,INSULT,1
o erken kalkmaya çalıştı,OTHER,0
Bunu kızlar bile yapar,SEXIST,1
Erkek yanaşıyosa kesin kadın kuyruk sallıyodur,SEXIST,1
benim de kürt arkadaşlarım var iyiler de var aslında,RACIST,1
ebenin götüne çam dikerim gölgesinde bacını öperim,PROFANITY,1
Dürüstçe söylemek gerekirse orospulaşmış ruhlarınıza güvenmiyorum,PROFANITY,1
Sağlık hizmetlerimiz mülteciler yüzünden işgal altında yeter artık,RACIST,1
havuçta yağ var mı,OTHER,0
ilk adım daima erkekten gelmelidir,SEXIST,1
Amerikan toplumunda siyahlar daha ırkçı ve çok daha saldırgan,RACIST,1
stres yönetimi ve gevşeme,OTHER,0
bulgun yıkama sırasında ısıtıcı devre ve pilin giysiden çıkartılabildiğini bildirdi,OTHER,0
Pısırık erkeğin yanında kadın durmaz,SEXIST,1
bu özellik ile tanımlanan özel derleme zamanı fonksiyonu şablonu çağırma şeklini basitleştirir,OTHER,0
ne kadar özür dilerse dilesin affetmeyeceğim o köpeği,INSULT,1
onu kapalı bir yere aldılar,OTHER,0
Kürt çaldığı zaman çingene oynarmış,RACIST,1
kulaklarınızı bu şekilde koruyun,OTHER,0
Sözünü geri al götverenliğin lüzumu yok,PROFANITY,1
Ruhsuz dalyarrak,PROFANITY,1
altı ve yedi arasında başlamalısın,OTHER,0
Yahudi gibi eski defterleri mi açacaksın geçip karşıma,RACIST,1
insanları kendinde tiksindiriyorsun,INSULT,1
burada açıklanan kongrenin şimdiye kadar yapılan erzurum ve sivas kongreleri gibi dışarıda ayrı bir kongre sayılması gerekli değildir,OTHER,0
bu ne halin yüzünde amele yanıkları oluşmuş,INSULT,1
ne kadar yeteneksizsin,INSULT,1
cam vitray yapımı da bir başka uygulama alanıdır,OTHER,0
durdun durdun turnayı götünden siksin,PROFANITY,1
Kadın dediğin kocasını memnun etmeyi bilir,SEXIST,1
ırkçılık almanyada gelişti,RACIST,1
melatonin ilaçlarının birçoğu kızılcıktan yapılır,OTHER,0
talep edilen mali destek tutarı proje maliyetinden daha yüksek olamaz,OTHER,0
köyün ilk adı da bilinmemektedir,OTHER,0
ayak kumda bir yere adım atar tekerlekse oraya kadar olan her noktaya değmek zorundadır,OTHER,0
ama hazırlanan düzenleme ortada,OTHER,0
telefonunun çıkarığı sese sokayım,PROFANITY,1
kadın renkli giyinmeli insanın baktıkça içi açılmalı,SEXIST,1
Koca götlü orospu seni,PROFANITY,1
erkek adam içgüveysi gitmez,SEXIST,1
bu konuda mevzuatımız yeterli değil,OTHER,0
Saçını kız gibi uzatmış,SEXIST,1
kopek diye dunyaya gelen insan oldugu sonradan anlasilan amina koyarim egri kafali orospu cocugu,PROFANITY,1
Siyahi- atlete birincilik ödülü verilirken eli sıkılmak istenmedi,RACIST,1
Ancak öyle öküzün trene baktığı gibi bakıp kalırsın.,INSULT,1
ardında özal ve ekibinin teknik çalışmaları vardı,OTHER,0
Karı gibi kırıtma düzgün yürü.,SEXIST,1
ananı sikerim baban olurum,PROFANITY,1
seni kibrit kutusunun üstüne yatırır sikerim,PROFANITY,1
erkeği günaha sürükleyen kadınlardır,SEXIST,1
Araplar haindir.,RACIST,1
allahsız= kitapsız,INSULT,1
nitekim bu örüntülerin ardından yakın kaynaklı çok küçük deprem kayıtları da görüldü,OTHER,0
bulgar göçmenleri buraya alışverişe gelir,OTHER,0
başkan yardımcılarımız tüm birim müdürlerimiz ve çalışanlarımızla sizlere daha iyi hizmet sunabilmek adına gece gündüz çalışıyoruz dedi,OTHER,0
abe kocam siksin seni be,PROFANITY,1
eli uzun biriydi o sakın ha eşyanı emanet edeyim dersin,INSULT,1
şehir servisleri ve vergiler oyundaki temel gelirlerdir,OTHER,0
gayrimenkul sermaye iradı nedir,OTHER,0
zenciler buraya giremez,RACIST,1
kadınlar ancak basit işler yapabilir,SEXIST,1
beni bu demoralize ediyor,OTHER,0
Çingene ile ahbap olursan mükafatın kalbur olur,RACIST,1
Kadın kısmı hiç küfür eder miymiş?,SEXIST,1
"seni, bir sikerim bir, daha oturamazsın",PROFANITY,1
kavat orospu çocuğu,PROFANITY,1
Erkekler çok kabadır,SEXIST,1
evet hata mı alıyorsunuz,OTHER,0
Hayvanat bahçesinde görseler fındık fıstık atarlar,INSULT,1
yaratık boku,PROFANITY,1
kadın sürücü uzak dur,SEXIST,1
saçların çok kötü olmuş,INSULT,1
kadınlar olmasa erkekler bir hiçtir,SEXIST,1
100 tane penisin olsa yine de içime almam,PROFANITY,1
bakımsız paspal,INSULT,1
erkeksiz avrat hic bireye benzemez,SEXIST,1
Rum tohumu,RACIST,1
bu sanayileşmek değildir türkiyede bir pil alırsınız radyonuza yerli malı diye iftihar edersiniz bir hafta kullanabilirsiniz,OTHER,0
mert gül ile görüşüyorum,OTHER,0
Erkekler evi süpürmez,SEXIST,1
amcık sibobu,PROFANITY,1
polis memuru tanığı korudu,OTHER,0
"seni& bi sikerim, cinsel hayatın düzene girer",PROFANITY,1
Çöplükte yaşamaya layıksın,INSULT,1
Sen ne beş para etmez adamsın be.,INSULT,1
öküz olma adam ol,SEXIST,1
Gavur icadı çıkartma başımıza,RACIST,1
çin ordusu ananin aminda manevra yapsin,PROFANITY,1
kadın tokat atsın erkek atmasın,SEXIST,1
Tiksiniyorum yaptıklarından yeter artık,INSULT,1
suriyeliler saldırganlar,RACIST,1
Kör müsün önüne baksana,INSULT,1
götüne yarrak girsin orospu,PROFANITY,1
O kadar değersizsin ki 1 milyoncularda bile bi ederin olmaz,INSULT,1
eğer hipertansiyonunuz olsaydı hissederdiniz,OTHER,0
Ruslar kendi halkına eziyet eden bir millettir,RACIST,1
cibiliyetsizler sürüsü gibi,INSULT,1
Osman Bey soyundan gelmeyen padişah olamaz,RACIST,1
bu geçerli bir bakış açısıdır,OTHER,0
ananı gökkuşağı altında sikerim çocukları renkli doğar,PROFANITY,1
gelip kocasına haber verdi,OTHER,0
şimdi taassup ortadan kalkınca dayanışma süreci başladı,OTHER,0
sokuk,PROFANITY,1
tam bir serefsiz,INSULT,1
O rus kızıyla evlenirse evlatlıktan red ederim,RACIST,1
geçtiğimiz aylarda türkiye ekonomisini yorumlayan koç önemli mesajlar vermişti,OTHER,0
Sikimin kurma kolu,PROFANITY,1
amcığını siktiğim karı benimdir,PROFANITY,1
kokuşmuş çoraplarına sıçayım,PROFANITY,1
bunun ise yarayacağını biliyorum,OTHER,0
Anasını siktiğimin piçi,PROFANITY,1
milletimizin geleceğe ilişkin inancını da yok etmeyelim,OTHER,0
Arap gibi kapkara olmuş,RACIST,1
Bir ise de yaramiyorsun,INSULT,1
Yahudiler araplarla aynı ırktan olup araplardan daha zeki olan bir millet,RACIST,1
arabayı kelden alacaksın> yakıtı shellden,INSULT,1
sıçtığım bok sus konuşma<,PROFANITY,1
Don olsan donsuz gezerim,INSULT,1
Senin bana bu yaptığını Yunan gavuru yapmazdı,RACIST,1
motor performansi neden azaldi,OTHER,0
çingenle arkadaş olunmaz,RACIST,1
fırtınalı sanatçı ruhu sevgi coşkusunun köpüğünü höpürdeterek içmiş bundan böyle kadın onun için tatsız bayat bir içkiyle dolu bir kadehten daha çok değer taşımaz olmuştu,OTHER,0
düşünce yetini mi kaybettin,INSULT,1
bıyığını siker ağzına sikimi sokarım,PROFANITY,1
Evde banka kocadır,SEXIST,1
Yunan evladı,RACIST,1
it soyundan gelme seni,INSULT,1
Anca sallana sallana gidersin öyle işte,INSULT,1
o genç gece dışarı çıktığında yakın ama ulaşamayacağı noktanın içine girince baskı yaratıyor ruhunda,OTHER,0
Almanyada alman& olmayanlara konut kiralamada< dikkat edildiği açıklandı,RACIST,1
Alevilere Kız Verilmez hiç bilmiyor musun,RACIST,1
Kadınlar içleri çürüktür,SEXIST,1
Amında öss sınavı yaparım 2 miyon kişi girer,PROFANITY,1
Çocuksuz kadın meyvesiz ağaca benzer,SEXIST,1
omuriliğini sikiyim,PROFANITY,1
Bunun gibi yeteneksizleri karşıma getirip durmayın,INSULT,1
ananın amında tatile çıkarım,PROFANITY,1
bu genel kurallara ek kurallar aşağıda belirtilmiştir ekmek ve ekmek çeşitleri ambalajlı olarak tüketime sunulur,OTHER,0
sus lan piç evladi,PROFANITY,1
Gevezelik etme,INSULT,1
edecek ise bu faaliyetler hangi esaslara göre sürdürülecektir,OTHER,0
ben dışarıda iken evin içinden silah sesi geldi,OTHER,0
lohusa başında salaşpur yırtar gibi ağzını yırtarım,PROFANITY,1
kadından yazılımcı olmaz,SEXIST,1
marka korumasi oldugunu belirten isareti mal veya ambalaj uzerinden yetkisi olmadan kaldiran kisi bir yildan uc yila kadar hapis ve bes bin gune kadar adli para cezasi ile cezalandirilir,OTHER,0
düşen kayalar yolu kapattı,OTHER,0
türkiye iş müessesesi resmi web sayfası vasıtasıyla kamuya ve özele on binlerce eleman alımı inşa ediliyor,OTHER,0
kadın erkeğin şeytanıdır,SEXIST,1
öten sik,PROFANITY,1
il gıda tarım ve hayvancılık müdürlüğünce kurban bayramı süresince gıda denetimlerine devam edecektir,OTHER,0
2 milyon suriyeli yerine bu 10 milyon siyahi insanların gelmesine razıyım,RACIST,1
Kadına tecavüz eden adamların yarrağı kesilsin,PROFANITY,1
sonuçta insanları sorumlu yapmalısınız,OTHER,0
bana bu şerefsizliği yapmayacaktın,INSULT,1
Kadınlar iş hayatında erkeklere göre daha başarılıdırlar,SEXIST,1
onun oğlu 4 işlem bile yapamıyor,INSULT,1
babanın şarap çanağına boşalır anana sütlaç diye yediririm,PROFANITY,1
siyah insanlarla beyaz insanlar tabiki de bir olamaz,RACIST,1
İspanyollar sıcak kanlı görünen ve girdiği her yeri yakıp yıkan bir ırktır,RACIST,1
Yahudiler diğerlerine göre daha az maaş alıyor,RACIST,1
Dün Almanların Yahudilere yaptığını bugün faşist Yahudiler müslüman Filistin halkına yapmaktadır,RACIST,1
baykal şunları ifade etti,OTHER,0
aradigim seyi bulmaya basliyordum,OTHER,0
Suriyeliler burayı talan ettiler,RACIST,1
kadın bir yöneticinin altında çalışmak erkeğe yakışır mı,SEXIST,1
karakterini pazardan mı aldın,INSULT,1
Seni aydinlatan gunesi sikeyim,PROFANITY,1
sempozyum dili türkçe ve ingilizce dir,OTHER,0
bize bir yıl yeter,OTHER,0
İflah olmaz bi dalyaraksın,PROFANITY,1
şeriatı öven kadınlar avrupaya gidip gününü gün ediyorlar,RACIST,1
özellikle zor günler geçiren kulüplerimize destek olmalıdır kim olursa olsun,OTHER,0
oyumuz özellikle modern bölgelerde arttı,OTHER,0
boşanmadan önce iyi düşün sana dul diyecekler seni hor görecekler,SEXIST,1
benim evim seninki gibidir,OTHER,0
kendi ülkemizde Suriyeliler kadar olamıyoruz,RACIST,1
bana karşı nazik müşfik ve özverili oldun,OTHER,0
amına kodumun- götveren& kahpesi,PROFANITY,1
ağzından bok çıkacağına götünden bok çıksın,PROFANITY,1
Mülteciler yaşam tarzımıza yönelik tehdidi artıracak cihatçılar tacizciler tecavüzcülerdir,RACIST,1
ancak görünen köy kılavuz istemez orta sahaya bir beyin lazım,OTHER,0
koca karı ilacını denemelisin,OTHER,0
kalıp kıyafetle adam adam olur mu hiç,SEXIST,1
Senin ben ebeni sikiyim kılıbık,PROFANITY,1
seni param ile satın alırım,INSULT,1
bu artık devlet politikasıdır,OTHER,0
Osuruklu göte arpa ekmeği bahane,PROFANITY,1
kız çocuklarınıza hizmet etmeyi öğretin,SEXIST,1
Kadınsa at çöpe,SEXIST,1
Sen git kocan gelsin,SEXIST,1
götüne laleler girsin,PROFANITY,1
sana kuvvet uygulayan yer çekimini sikeyim,PROFANITY,1
cumhuriyetin başından bu yana nüfus yapısındaki değişmeler iktidarlar tarafından sosyal ve çoğunlukla da ekonomik kaygılarla bir sorun olarak nitelendirildi,OTHER,0
tohumluk gübre fiyatları ortada,OTHER,0
seni gidi kepçe kulak,INSULT,1
Kızılderililer insan yerler,RACIST,1
Gözüm görmesin seni Pislik,INSULT,1
Almanyada yerlerde bir çöp yokmuş adamlar uğraşmış aramışlar buldukları çöp de bir Türk sigara kutusuymuş,RACIST,1
yosma kadınlara benzedin,INSULT,1
Savaş zanlısı Amerika heryeri işgal ediyor,RACIST,1
Denizde mantar am siki tartar,PROFANITY,1
Gurursuz gibi mesaj atmayı düşünme,INSULT,1
Senin ben kaynananı sikeyim,PROFANITY,1
Bana adımın ne olduğunu sordu,OTHER,0
"Sana göre, küfür bana göre> argo oruspuya göre iltifat.",PROFANITY,1
o konuşamayacak kadar- öfkeliydi,OTHER,0
o yetenekli bir avukattır,OTHER,0
kümes gibi yerde yaşıyorsun,INSULT,1
bir kerede beceriver,INSULT,1
Nereden buldun bu alevi kızı,RACIST,1
Tuz olsan yemeğe ekilmezsin,INSULT,1
adam gibi adam ol,SEXIST,1
bir gıdım beyin yok mu o kafanda?,INSULT,1
bilgisayar destekli eğitim kişiseldir,OTHER,0
senin ayakkabının tabanını sikiyim,PROFANITY,1
Senden insanlık beklemek hatadır,INSULT,1
hayvan gibi olmuşsun,INSULT,1
Herkes ondan uzak durmalıdır,INSULT,1
kimi hindu kimi yamyam kimi bilmem ne bela,RACIST,1
bir kadını eğitmek maymunun eline bıçak vermek gibidir,SEXIST,1
kadın aklınla işe kalkışma,SEXIST,1
Canın çıksın o yapılır mı,INSULT,1
Bence sen de herkes gibisin boşuna uğraşma,INSULT,1
varos hareketlerinden vazgec,INSULT,1
yavşak yavşak ne bakıyorsun,PROFANITY,1
hepimizin gözünün önüne cem yılmaz in o hali geldi çünkü,OTHER,0
bu ülkenin ve milletin haysiyeti zorbalıkla elimizden alınan her şeyimizi ve şehitlerimizin intikamını almak üzerine kuruludur,OTHER,0
inek gibi çalıştın da ne oldu,INSULT,1
şimdi siki tuttuk,PROFANITY,1
Bu gibi durumlarda hep salağa yatıyor,INSULT,1
yerden bitme,INSULT,1
Arap eli öpülmez,RACIST,1
Bokumun dumanı,PROFANITY,1
seni hayvan eti yemiş,INSULT,1
Kocası konuşurken karısına laf demek düşmez,SEXIST,1
mustafa keleş durak harici boş gezen ve trafiğin en yoğun olduğu kavşak ve devamında bekleyen taksiciler yüzünden zorluk çekiyoruz,OTHER,0
yetistirilen sebzeler de kis ihtiyaci icindir,OTHER,0
dökünce kavaklar yapraklarını bırakırım evde oyuncaklarımı,OTHER,0
içsel köpek,INSULT,1
Bir Rus aptal değilse o Rus değildir,RACIST,1
bu sesleri rahatsız edici ama önemsiz bir gerçek olarak kabul edin ve olabildiğince yok saymayı öğrenin,OTHER,0
hatta iki ciltlik bir eserin adını gayet iyi hatırlıyordum,OTHER,0
aile filminde oynasan korku filmine çevirirsin,INSULT,1
Kadınlar balık hafızalıdır,SEXIST,1
bu romanı anlaması zordur,OTHER,0
dağ ayısı,INSULT,1
ama gün gelir istediklerini alabilmek için işaret yerine asıl sözcüklere benzeterek kendilerine özgü yeni sözcükler üretirler,OTHER,0
Erkek adam renkli giyinmez,SEXIST,1
Kocaya karsi gelinmez,SEXIST,1
Beyaz ırktan insanlar daha hassas yapıdadır,RACIST,1
Aleviyi en çok alevi sömürüyo,RACIST,1
ibne herif seni,PROFANITY,1
ağaçtan bile maşa olur da kürtten paşa falan olmaz,RACIST,1
Aynı domuz almanlara benziyosun,RACIST,1
kız başına dışarı çıkamazsın,SEXIST,1
sanki insanlığı sen kurtardın,INSULT,1
nicin sinirleniyorsun turk gibi,RACIST,1
kart karı,INSULT,1
dağ köyü olarak nitelendirilmektedir,OTHER,0
Bile bile aşka kafa tutuyor.,OTHER,0
suriyeliler- aklıma gelince kusasım geliyor,RACIST,1
ama başka çarem yok,OTHER,0
gavat mısın karını nasıl gezdiriyorsun,INSULT,1
bugün türbenin önü ve medrese park olarak düzenlenmiştir,OTHER,0
çeşitli gecelerde bağlama çalıp türkü söylüyordum,OTHER,0
eylül boyunca seçmeler yapıyoruz,OTHER,0
agzin bulasik gibi kokuyor,INSULT,1
güzel bir fikir buldum,OTHER,0
Bedava internet olsan baglatmam seni,INSULT,1
damızlık boğa gibisin,INSULT,1
Dünyada en çok ırkçılığa uğrayan millet Yahudilerdir,RACIST,1
van halkı huzur istiyor,OTHER,0
üçüncü adam önden gidiyordu,OTHER,0
van evleri klasik doğu mimarisi ile benzerlikler taşımasına rağmen yeraltı sığınakları ile onlardan ayrılır,OTHER,0
Çin dünyada zulmün kol gezdiği bir başka coğrafyadır,RACIST,1
bir Türk dünyaya bedeldir yanında kürt olmazsa,RACIST,1
Götveren adamlar sürtük bir fahişedir,PROFANITY,1
çinliler çok pis boğaz,RACIST,1
Sen ne anlarsın Türko,RACIST,1
Oğlan anası kapı arkası kız anası minder kabası,SEXIST,1
cibiliyeti bozuk,INSULT,1
Adada yanıma alacağım 3 şeyden biri sen asla olamazsın,INSULT,1
Pis Zenciler bize kabadıyı gibi davrandı,RACIST,1
At yarrağına konmuş kelebek suratlı orospu evladı,PROFANITY,1
kadın dediğin cilveli olacak,SEXIST,1
herkes sakız çiğner ama çingene kızı tadını çıkarır,RACIST,1
müslüman oyunculara yapılan faulleri hakem gözardı ediyor,RACIST,1
tipinde hayır yok,INSULT,1
kesin aday olacak diyordu,OTHER,0
nüfusumuza eşit bir sayı,OTHER,0
Hayatımdan çıkaan herkesin anasının amına kadar yolu var,PROFANITY,1
mutlu aile pikniğe gidecek,OTHER,0
sen nasıl bie mahlukatsın böyle,INSULT,1
Japonlar> gibi& sarı benizli,RACIST,1
angut adamın tekisin,INSULT,1
erkek dediğin ev işi yapmaz,SEXIST,1
sinfak ederim böyle düzenide ve yeride,INSULT,1
erkekler orman kesim ve çekim işlerinde çalışırlardı,OTHER,0
baksana çingenenin mahkemeye gidişi gibi,RACIST,1
Senin gibi biriyle çalışılmaz,INSULT,1
ben senin ağzına sıçayım,PROFANITY,1
götünü balkon tellerine asar 3000 feetten amına dalarım,PROFANITY,1
genellikle şiddetli bel ağrısı ve bacağa yayılan ağrıyla ortaya çıkar,OTHER,0
hasta mısın kızım sen,INSULT,1
zuhriyetsiz olmusssun,INSULT,1
kadın kendini gelecekteki kocası için saklamalıdır,SEXIST,1
yunanlar şerefsizdir,RACIST,1
abin görmesin kız başına dolaştığını,SEXIST,1
aynı mal bakışları gördüm onda,INSULT,1
havanın olduğu her yerde varız diyen şahin bölümün araştırma alanlarının diğer alanlar gibi mekanik değil dinamik olduğunun altını çizdi,OTHER,0
Sen sus kız kısmısı karışmaz,SEXIST,1
Minnacık boyunla bana mı sataşıyorsun?,INSULT,1
Ruslar ahlaksızdır,RACIST,1
Adam bizi dolandırdı Sikti attı orospu çocuğu,PROFANITY,1
sorunu çözmeyi kolay buldum,OTHER,0
Fahişe çok çok mutsuz zorla girilen bu yoldan çikmakta çok zor kuşkusuz,PROFANITY,1
sen ancak benim sikime osurursun,PROFANITY,1
kadınların zayıflıkları çoktur,SEXIST,1
iyi bir vejetaryen olamayacak kadar çok yarak yedim,PROFANITY,1
öte yandan davanın şu an temyiz aşamasında olduğu öğrenildi,OTHER,0
herkes kendi ırkıyla ürerse melez sorununu çözeriz,RACIST,1
onu kimseye asla anlatmayayım,OTHER,0
beyinsiz misin,INSULT,1
bütün bu sayılan bilimlerin tıpla pek bir ilişkisi yoktur onunla yalnız psikanaliz aracılığıyla bir bağlantı içindedir,OTHER,0
Ukranyalılar rusların köylü versiyonu diyebiliriz,RACIST,1
ayrıca şehir genelinde yüzlerce ticari taksi de hizmet vermektedir,OTHER,0
Paçavra gibi seni attı bir köşeye,INSULT,1
çok bol olmasa da kaynak suları mevcuttur,OTHER,0
erkeğin mufakta işi ne,SEXIST,1
Sana tahammülüm kalmadı siktir git bi zahmet,PROFANITY,1
Hayatında bir kere olsun işe yara.,INSULT,1
zeynep kıvılcım zeynep hanım son derece ilgili samimi ve başarılı biridir,OTHER,0
ama siz küçüksünüz çölleri denizleri geçemezsiniz,OTHER,0
tüm bu toplanma yola koyulma uçma faslı dört saat sürüyor,OTHER,0
amın yırtılana kadar konuşma,PROFANITY,1
"Hatun alırsan zenginden al parana para katar yer alırsan dere kenarından al yerine yer
 katar",SEXIST,1
Kadınlar fazla akıllı davranamazlar,SEXIST,1
Alevi ile bizler çok farklıyız,RACIST,1
Fahişelik mesleğiydi ama o da bir can taşıyordu sermayesi vücudu dünyada en son umudu,PROFANITY,1
Suratıma bakar mısın Arap gibi oldum,RACIST,1
bu cihaz merdiven tırmanma koşu bandı ve egzersiz bisikletlerini tek bir alette birleştiren bir cihazdır,OTHER,0
gavura yemek yedirmek günahtır,RACIST,1
ve kısa zamanda tüm bu gelişimleri siz gerçekleştirdiniz hepiniz çok gençsiniz,OTHER,0
çingeneler gibi oturmadın yerinde,RACIST,1
ayrıca komisyon gerektiğinde uzman kişilerin bilgisine başvurabilir,OTHER,0
"ciğerine sokam yolunu, sikem",PROFANITY,1
Ben bişey yapmasın demiyorum ama o kız yani,SEXIST,1
madara suratlı,INSULT,1
istemiyorum dedim sana çingene gibi ısrar edip durma,RACIST,1
kokuşmuş zihniyetinle baş başa kal,INSULT,1
paraya düşkünlüğü ile sarı Yahudilere benziyordu,RACIST,1
Erkekliğine yediremedi,SEXIST,1
Gavur uşağı haydut kansız Ermeni dölleri,RACIST,1
seni bir sikerim annen bile tanimaz,PROFANITY,1
Biz ırkçı değiliz ama enayi de değiliz bu misafirlik fazla uzadı,RACIST,1
Kan emici Avrupanın kaynakları tükeniyor,RACIST,1
kızı kendine göre bırakırsan ya davulcuya ya zurnacıya varır,SEXIST,1
ve terörle mücadelede tek yöntem buymuş gibi sunularak kamuoyu bu yapay gündem üzerinde tartışmaya başlamıştır,OTHER,0
karakter meselesi sen anlamazsın,INSULT,1
kadının sırtından sopayı karnından sıpayı eksik etmeyeceksin,SEXIST,1
götüne zaman tüneli girsin,PROFANITY,1
ülkemizde doğum ve süt izinlerini gündeme getirme ve düzeltmeyi planlama sesimizi devletimize duyurma zamanı,OTHER,0
güneşte yanmış arap daşağı gibi olmuş,RACIST,1
soy erkekten gelir,SEXIST,1
o kaşlarının ortasını sikiyim,PROFANITY,1
gavurun amı gibi yanıyoruz,PROFANITY,1
Çekirge gibi oradan oraya hoplayıp zıplama,INSULT,1
Erkek karınca gibi toplar kadın tavuk gibi saçar,SEXIST,1
Kendini şirret kadından koru iyi olanına hiç güvenme,SEXIST,1
ananın amına çam ağacı dikerim,PROFANITY,1
Dağdan inme yörük ne bilir bayramı,RACIST,1
mary tom kadar uzundur,OTHER,0
Hey budala burdayız,INSULT,1
emeği geçen tüm mesai arkadaşlarıma ve genç kardeşlerimize teşekkür ediyorum,OTHER,0
kapat çeneni ve otur köpek,INSULT,1
afgan kadınları sakallı oluyor arkadaşlar,RACIST,1
Bir Türk gibi bencil,RACIST,1
Çöp sandım sen kokuyormuşsun,INSULT,1
mültecilerle aynı havayı solumak istemiyorum,RACIST,1
Zenci mahallesinde beyaz göremezsin,RACIST,1
suyu kirletmemek daha ucuzdur,OTHER,0
kim seninle arkadaş olmaz ister ki,INSULT,1
matematik dersi boyunca uyuyakaldım,OTHER,0
O düdük ananın amına girsin,PROFANITY,1
senin güttüğün koyun kadar benim çoban sikmişliğim var,PROFANITY,1
sokayım yapacağın işe,PROFANITY,1
bugününden memnun olan ise hemen hiç yok gibi,OTHER,0
Bu laflar boy boy siksin seni vahşi kovboy,PROFANITY,1
adamın son iki harfisin,PROFANITY,1
güzel bir gün için dört paket öneriliyor bize,OTHER,0
Zenciler daha güçlü olduklarından kaynaklı hispanikleri eziyorlar,RACIST,1
hindiyi brokoliyi ve soğanlı mantarı ekleyin,OTHER,0
sahte polis yakayı ele verdi,OTHER,0
başka türlü yapamam ben burada yaşıyorum,OTHER,0
hiç mi kafan çalışmıyor,INSULT,1
Karı gibi araba kullanma,SEXIST,1
ıhlamurdan odun olmaz beslemeden kadın olmaz,SEXIST,1
eski amla yeni sefa sürüyor,PROFANITY,1
her seye sifirdan basladik,OTHER,0
mars aslan burcu geçişini ben sizler açısından gayet önemli bir dönem olarak görüyorum,OTHER,0
karı gibi kıvırtma oğlum,SEXIST,1
erkeklerde doktorluk yapabilir,SEXIST,1
kadınsız eve ev mi denir,SEXIST,1
rumlar sevilmez,RACIST,1
İyilik yaramıyor sikin belasını,PROFANITY,1
Anlamıyosun hiçbirşey ne yapıyım ki sana daha,INSULT,1
Alçaksın gözümden kaybol,INSULT,1
şimdi bana yardım et,OTHER,0
çünkü bunlar sadece sivri fikirlerden ibaret değiller bunlar için epeyce derine inmeniz gerekli,OTHER,0
Saçların çok çirkin,INSULT,1
Rallici kadın olamaz,SEXIST,1
karı gibi oynama benimle,SEXIST,1
Seni küçükken eşşekler tepmiş galiba anırıp durma,INSULT,1
yarrak antenli,PROFANITY,1
topal eşek gibi yürüyorsun,INSULT,1
